database,iterations,p50,p90,p95,p99,p999,p9999,p99999
1,1000,133119,176127,193535,255999,4325375,6520831,6520831
10,1000,140287,146431,149503,158719,208895,2277375,2277375
1k,1000,1359871,1409023,1433599,1548287,8093695,9895935,9895935
5k,1000,8716287,8912895,9109503,13631487,81264639,87031807,87031807
10k,1000,22937599,23855103,25559039,46137343,85458943,248512511,248512511
